case_id,family,true_action,safety_critical,cue_clarity,text_specificity,physical_affordance,distractor_strength,cue_text_conflict,text_only_score,text_only_prediction,text_only_clarify,captioned_cues_score,captioned_cues_prediction,captioned_cues_clarify,embodied_prompt_graph_score,embodied_prompt_graph_prediction,embodied_prompt_graph_clarify
pointing_to_a_reachable_target_000,pointing to a reachable target,move_to_target,0,0.754,0.3346,0.7516,0.06,0,0.3686,clarify,1,0.5999,move_to_target,0,0.6587,move_to_target,0
pointing_to_a_reachable_target_001,pointing to a reachable target,move_to_target,0,0.8988,0.3204,0.7863,0.098,0,0.4373,avoid_fixture,0,0.6787,move_to_target,0,0.8205,move_to_target,0
pointing_to_a_reachable_target_002,pointing to a reachable target,move_to_target,0,1.0,0.2912,0.9382,0.3539,0,0.3336,clarify,1,0.6115,move_to_target,0,0.8376,move_to_target,0
pointing_to_a_reachable_target_003,pointing to a reachable target,move_to_target,0,0.851,0.5477,0.8279,0.1203,0,0.5217,move_to_target,0,0.7107,move_to_target,0,0.7048,move_to_target,0
pointing_to_a_reachable_target_004,pointing to a reachable target,move_to_target,0,0.8304,0.4211,0.9316,0.2776,0,0.3599,clarify,1,0.6109,move_to_target,0,0.8457,move_to_target,0
pointing_to_a_reachable_target_005,pointing to a reachable target,move_to_target,0,0.8555,0.4318,0.7428,0.0662,0,0.4921,follow_path,0,0.6766,move_to_target,0,0.777,move_to_target,0
pointing_to_a_reachable_target_006,pointing to a reachable target,move_to_target,0,0.7573,0.4831,0.8407,0.0864,0,0.4302,align_and_place,0,0.5964,move_to_target,0,0.6968,move_to_target,0
pointing_to_a_reachable_target_007,pointing to a reachable target,move_to_target,0,0.638,0.0594,0.677,0.1401,0,0.1904,clarify,1,0.5017,accept_handover,0,0.5839,move_to_target,0
pointing_to_a_reachable_target_008,pointing to a reachable target,move_to_target,0,0.9422,0.5376,0.8439,0.3538,0,0.4247,accept_handover,0,0.6453,move_to_target,0,0.8484,move_to_target,0
pointing_to_a_reachable_target_009,pointing to a reachable target,move_to_target,0,0.9104,0.1036,0.7572,0.36,0,0.1715,clarify,1,0.6215,move_to_target,0,0.7108,move_to_target,0
pointing_to_a_reachable_target_010,pointing to a reachable target,move_to_target,0,0.7938,0.4888,0.7103,0.2016,0,0.4659,follow_path,0,0.6455,move_to_target,0,0.6828,move_to_target,0
pointing_to_a_reachable_target_011,pointing to a reachable target,move_to_target,0,0.8749,0.4197,0.6966,0.3844,0,0.4018,avoid_fixture,0,0.5991,move_to_target,0,0.7012,move_to_target,0
pointing_to_a_reachable_target_012,pointing to a reachable target,move_to_target,0,0.7618,0.5139,0.8164,0.0,0,0.4796,align_and_place,0,0.6269,move_to_target,0,0.7297,move_to_target,0
pointing_to_a_reachable_target_013,pointing to a reachable target,move_to_target,0,0.5805,0.5165,0.965,0.2011,0,0.4423,follow_path,0,0.6351,move_to_target,0,0.7147,move_to_target,0
pointing_to_a_reachable_target_014,pointing to a reachable target,move_to_target,0,0.7663,0.2108,0.6826,0.2576,0,0.2445,clarify,1,0.5474,move_to_target,0,0.6348,move_to_target,0
pointing_to_a_reachable_target_015,pointing to a reachable target,move_to_target,0,0.8286,0.2558,0.5759,0.0941,0,0.2546,clarify,1,0.6555,move_to_target,0,0.5758,move_to_target,0
pointing_to_a_reachable_target_016,pointing to a reachable target,move_to_target,0,0.9617,0.0371,0.8216,0.2848,0,0.1325,clarify,1,0.484,avoid_fixture,0,0.8683,move_to_target,0
pointing_to_a_reachable_target_017,pointing to a reachable target,move_to_target,0,0.7788,0.6553,0.5812,0.0656,0,0.5553,move_to_target,0,0.7316,move_to_target,0,0.6269,move_to_target,0
pointing_to_a_reachable_target_018,pointing to a reachable target,move_to_target,0,0.6739,0.4381,0.9184,0.1779,0,0.3683,clarify,1,0.5613,move_to_target,0,0.7047,move_to_target,0
pointing_to_a_reachable_target_019,pointing to a reachable target,move_to_target,0,0.6485,0.4601,0.9786,0.0,0,0.4751,follow_path,0,0.6525,move_to_target,0,0.748,move_to_target,0
pointing_to_a_reachable_target_020,pointing to a reachable target,move_to_target,0,0.7828,0.3514,0.8075,0.2225,0,0.3868,halt,0,0.6414,move_to_target,0,0.7401,move_to_target,0
pointing_to_a_reachable_target_021,pointing to a reachable target,move_to_target,0,1.0,0.3642,0.7388,0.2549,0,0.3144,clarify,1,0.6727,move_to_target,0,0.8163,move_to_target,0
pointing_to_a_reachable_target_022,pointing to a reachable target,move_to_target,0,0.8823,0.1572,0.5123,0.1793,0,0.259,clarify,1,0.6057,move_to_target,0,0.6224,move_to_target,0
pointing_to_a_reachable_target_023,pointing to a reachable target,move_to_target,0,0.9369,0.4598,0.6414,0.101,0,0.3833,avoid_fixture,0,0.6724,move_to_target,0,0.7417,move_to_target,0
pointing_to_a_reachable_target_024,pointing to a reachable target,move_to_target,0,0.8667,0.6315,1.0,0.0,0,0.5174,accept_handover,0,0.7836,move_to_target,0,0.9062,move_to_target,0
pointing_to_a_reachable_target_025,pointing to a reachable target,move_to_target,0,0.7513,0.2957,0.7816,0.2433,0,0.2602,clarify,1,0.6351,move_to_target,0,0.6321,move_to_target,0
pointing_to_a_reachable_target_026,pointing to a reachable target,move_to_target,0,0.9563,0.3439,0.7761,0.2338,0,0.3784,clarify,1,0.7491,move_to_target,0,0.8075,move_to_target,0
pointing_to_a_reachable_target_027,pointing to a reachable target,move_to_target,0,0.6825,0.7563,0.7501,0.1377,0,0.5982,move_to_target,0,0.5519,move_to_target,0,0.73,move_to_target,0
pointing_to_a_reachable_target_028,pointing to a reachable target,move_to_target,0,0.8572,0.7358,0.6803,0.4644,1,0.2873,clarify,1,0.4419,accept_handover,0,0.6268,move_to_target,0
pointing_to_a_reachable_target_029,pointing to a reachable target,move_to_target,0,0.7913,0.3104,0.9675,0.0,0,0.4136,align_and_place,0,0.7579,move_to_target,0,0.98,move_to_target,0
pointing_to_a_reachable_target_030,pointing to a reachable target,move_to_target,0,0.8753,0.327,0.7896,0.3494,0,0.2655,clarify,1,0.6783,move_to_target,0,0.6959,move_to_target,0
pointing_to_a_reachable_target_031,pointing to a reachable target,move_to_target,0,0.8915,0.1732,1.0,0.1402,0,0.2884,clarify,1,0.6708,move_to_target,0,0.8181,move_to_target,0
pointing_to_a_reachable_target_032,pointing to a reachable target,move_to_target,0,0.976,0.4543,1.0,0.3638,0,0.5116,align_and_place,0,0.5954,move_to_target,0,0.8958,move_to_target,0
pointing_to_a_reachable_target_033,pointing to a reachable target,move_to_target,0,0.9247,0.3689,0.5842,0.0,0,0.4147,accept_handover,0,0.6846,move_to_target,0,0.7965,move_to_target,0
pointing_to_a_reachable_target_034,pointing to a reachable target,move_to_target,0,0.9943,0.5681,0.8926,0.2942,0,0.4919,avoid_fixture,0,0.7553,move_to_target,0,0.887,move_to_target,0
pointing_to_a_reachable_target_035,pointing to a reachable target,move_to_target,0,0.8403,0.1854,0.711,0.0286,0,0.3383,clarify,1,0.6047,move_to_target,0,0.6915,move_to_target,0
pointing_to_a_reachable_target_036,pointing to a reachable target,move_to_target,0,0.6972,0.1206,0.6901,0.2137,0,0.403,halt,0,0.4602,avoid_fixture,0,0.6211,move_to_target,0
pointing_to_a_reachable_target_037,pointing to a reachable target,move_to_target,0,0.9631,0.3766,0.8023,0.344,0,0.2998,clarify,1,0.5917,move_to_target,0,0.7714,move_to_target,0
pointing_to_a_reachable_target_038,pointing to a reachable target,move_to_target,0,0.8463,0.4569,0.9058,0.1819,0,0.3419,clarify,1,0.6353,move_to_target,0,0.8429,move_to_target,0
pointing_to_a_reachable_target_039,pointing to a reachable target,move_to_target,0,0.8509,0.3375,0.4932,0.1233,0,0.2846,clarify,1,0.6072,move_to_target,0,0.7256,move_to_target,0
pointing_to_a_reachable_target_040,pointing to a reachable target,move_to_target,0,0.7525,0.2857,0.6926,0.0135,0,0.4167,halt,0,0.7002,move_to_target,0,0.7137,move_to_target,0
pointing_to_a_reachable_target_041,pointing to a reachable target,move_to_target,0,0.6565,0.3277,0.6806,0.0,0,0.4751,avoid_fixture,0,0.634,move_to_target,0,0.7226,move_to_target,0
pointing_to_a_reachable_target_042,pointing to a reachable target,move_to_target,0,1.0,0.485,0.6805,0.0883,0,0.475,align_and_place,0,0.6992,move_to_target,0,0.8267,move_to_target,0
pointing_to_a_reachable_target_043,pointing to a reachable target,move_to_target,0,0.8935,0.4303,1.0,0.3166,0,0.3216,clarify,1,0.6388,move_to_target,0,0.8615,move_to_target,0
pointing_to_a_reachable_target_044,pointing to a reachable target,move_to_target,0,0.8311,0.4313,0.569,0.2867,0,0.3237,clarify,1,0.5691,move_to_target,0,0.7399,move_to_target,0
pointing_to_a_reachable_target_045,pointing to a reachable target,move_to_target,0,0.9422,0.6244,0.985,0.1465,0,0.5677,move_to_target,0,0.7925,move_to_target,0,0.8302,move_to_target,0
pointing_to_a_reachable_target_046,pointing to a reachable target,move_to_target,0,1.0,0.4866,0.8787,0.0695,0,0.3942,accept_handover,0,0.7788,move_to_target,0,0.8871,move_to_target,0
pointing_to_a_reachable_target_047,pointing to a reachable target,move_to_target,0,0.9064,0.2581,1.0,0.3437,0,0.3729,clarify,1,0.6103,move_to_target,0,0.8073,move_to_target,0
pointing_to_a_reachable_target_048,pointing to a reachable target,move_to_target,0,0.8081,0.6938,0.7466,0.0288,0,0.6048,move_to_target,0,0.7598,move_to_target,0,0.7056,move_to_target,0
pointing_to_a_reachable_target_049,pointing to a reachable target,move_to_target,0,0.6849,0.2502,0.652,0.4614,0,0.2229,clarify,1,0.4907,follow_path,0,0.6594,move_to_target,0
pointing_to_a_reachable_target_050,pointing to a reachable target,move_to_target,0,0.8645,0.2655,0.6011,0.0073,0,0.2979,clarify,1,0.7341,move_to_target,0,0.6253,move_to_target,0
pointing_to_a_reachable_target_051,pointing to a reachable target,move_to_target,0,0.5874,0.3586,0.9979,0.1011,0,0.3124,clarify,1,0.5566,move_to_target,0,0.7794,move_to_target,0
pointing_to_a_reachable_target_052,pointing to a reachable target,move_to_target,0,0.9651,0.7147,0.8734,0.1078,0,0.7955,move_to_target,0,0.8031,move_to_target,0,0.8609,move_to_target,0
pointing_to_a_reachable_target_053,pointing to a reachable target,move_to_target,0,0.8409,0.3017,0.8197,0.0,0,0.4133,accept_handover,0,0.5904,move_to_target,0,0.7799,move_to_target,0
pointing_to_a_reachable_target_054,pointing to a reachable target,move_to_target,0,0.9241,0.2497,0.7124,0.0,0,0.2471,clarify,1,0.6284,move_to_target,0,0.7747,move_to_target,0
pointing_to_a_reachable_target_055,pointing to a reachable target,move_to_target,0,0.8529,0.2438,0.905,0.2839,0,0.2461,clarify,1,0.5815,move_to_target,0,0.7757,move_to_target,0
pointing_to_a_reachable_target_056,pointing to a reachable target,move_to_target,0,0.693,0.8135,1.0,0.3245,0,0.6569,move_to_target,0,0.532,move_to_target,0,0.8109,move_to_target,0
pointing_to_a_reachable_target_057,pointing to a reachable target,move_to_target,0,0.7744,0.0756,0.8959,0.4863,0,0.1075,clarify,1,0.4948,accept_handover,0,0.6886,move_to_target,0
pointing_to_a_reachable_target_058,pointing to a reachable target,move_to_target,0,1.0,0.1725,0.6928,0.0,0,0.4274,follow_path,0,0.8266,move_to_target,0,0.7809,move_to_target,0
pointing_to_a_reachable_target_059,pointing to a reachable target,move_to_target,0,0.8844,0.0402,0.8103,0.1464,0,0.2733,clarify,1,0.7013,move_to_target,0,0.7796,move_to_target,0
pointing_to_a_reachable_target_060,pointing to a reachable target,move_to_target,0,0.9723,0.4336,1.0,0.204,0,0.4172,avoid_fixture,0,0.7097,move_to_target,0,0.9073,move_to_target,0
pointing_to_a_reachable_target_061,pointing to a reachable target,move_to_target,0,0.8775,0.2103,0.6777,0.193,0,0.2159,clarify,1,0.6297,move_to_target,0,0.7744,move_to_target,0
pointing_to_a_reachable_target_062,pointing to a reachable target,move_to_target,0,0.7724,0.5149,0.7249,0.4826,1,0.1739,clarify,1,0.3878,clarify,1,0.7059,move_to_target,0
pointing_to_a_reachable_target_063,pointing to a reachable target,move_to_target,0,0.7631,0.5278,0.6062,0.2902,0,0.4452,halt,0,0.6614,move_to_target,0,0.7452,move_to_target,0
pointing_to_a_reachable_target_064,pointing to a reachable target,move_to_target,0,0.8027,0.3545,0.93,0.0901,0,0.4322,align_and_place,0,0.6371,move_to_target,0,0.7587,move_to_target,0
pointing_to_a_reachable_target_065,pointing to a reachable target,move_to_target,0,0.5619,0.1268,0.6186,0.0228,0,0.313,clarify,1,0.577,move_to_target,0,0.5926,move_to_target,0
pointing_to_a_reachable_target_066,pointing to a reachable target,move_to_target,0,0.8059,0.2067,0.6303,0.1537,0,0.3273,clarify,1,0.58,move_to_target,0,0.7549,move_to_target,0
pointing_to_a_reachable_target_067,pointing to a reachable target,move_to_target,0,0.9033,0.1443,0.8269,0.151,0,0.3439,clarify,1,0.7473,move_to_target,0,0.7791,move_to_target,0
pointing_to_a_reachable_target_068,pointing to a reachable target,move_to_target,0,0.7524,0.3779,0.8108,0.085,0,0.4648,follow_path,0,0.7468,move_to_target,0,0.78,move_to_target,0
pointing_to_a_reachable_target_069,pointing to a reachable target,move_to_target,0,0.9247,0.3806,0.5623,0.3577,0,0.3339,clarify,1,0.5763,move_to_target,0,0.6924,move_to_target,0
pointing_to_a_reachable_target_070,pointing to a reachable target,move_to_target,0,0.6535,0.2128,0.8723,0.0807,0,0.292,clarify,1,0.6122,move_to_target,0,0.6996,move_to_target,0
pointing_to_a_reachable_target_071,pointing to a reachable target,move_to_target,0,0.8884,0.4086,0.7827,0.122,0,0.4217,align_and_place,0,0.6773,move_to_target,0,0.8775,move_to_target,0
pointing_to_a_reachable_target_072,pointing to a reachable target,move_to_target,0,0.6187,0.1969,0.8588,0.2772,0,0.2672,clarify,1,0.5108,avoid_fixture,0,0.5385,move_to_target,0
pointing_to_a_reachable_target_073,pointing to a reachable target,move_to_target,0,1.0,0.295,0.7281,0.2112,0,0.2833,clarify,1,0.7713,move_to_target,0,0.6621,move_to_target,0
pointing_to_a_reachable_target_074,pointing to a reachable target,move_to_target,0,0.8605,0.1763,0.9302,0.1024,0,0.3673,clarify,1,0.7057,move_to_target,0,0.7769,move_to_target,0
pointing_to_a_reachable_target_075,pointing to a reachable target,move_to_target,0,1.0,0.5671,0.8833,0.0792,0,0.4987,avoid_fixture,0,0.856,move_to_target,0,0.7791,move_to_target,0
pointing_to_a_reachable_target_076,pointing to a reachable target,move_to_target,0,0.5631,0.0969,0.9225,0.4215,0,0.1384,clarify,1,0.4769,halt,0,0.6274,move_to_target,0
pointing_to_a_reachable_target_077,pointing to a reachable target,move_to_target,0,0.9482,0.591,0.7961,0.194,0,0.5109,align_and_place,0,0.7468,move_to_target,0,0.7838,move_to_target,0
pointing_to_a_reachable_target_078,pointing to a reachable target,move_to_target,0,0.6161,0.4506,0.5631,0.0,0,0.4438,align_and_place,0,0.5435,move_to_target,0,0.6477,move_to_target,0
pointing_to_a_reachable_target_079,pointing to a reachable target,move_to_target,0,0.8857,0.3578,0.6818,0.0539,0,0.3623,clarify,1,0.774,move_to_target,0,0.7959,move_to_target,0
pointing_to_a_reachable_target_080,pointing to a reachable target,move_to_target,0,0.9743,0.4658,0.4964,0.2636,0,0.4678,avoid_fixture,0,0.5556,move_to_target,0,0.7084,move_to_target,0
pointing_to_a_reachable_target_081,pointing to a reachable target,move_to_target,0,0.8247,0.4876,1.0,0.0234,0,0.5685,move_to_target,0,0.7414,move_to_target,0,0.9186,move_to_target,0
pointing_to_a_reachable_target_082,pointing to a reachable target,move_to_target,0,0.4511,0.2365,0.8837,0.3327,0,0.1972,clarify,1,0.5276,move_to_target,0,0.5267,move_to_target,0
pointing_to_a_reachable_target_083,pointing to a reachable target,move_to_target,0,1.0,0.4114,0.9943,0.4387,0,0.2308,clarify,1,0.678,move_to_target,0,0.7758,move_to_target,0
pointing_to_a_reachable_target_084,pointing to a reachable target,move_to_target,0,0.9592,0.1262,0.6702,0.0714,0,0.2736,clarify,1,0.6056,move_to_target,0,0.7052,move_to_target,0
pointing_to_a_reachable_target_085,pointing to a reachable target,move_to_target,0,0.7314,0.3489,0.8623,0.1961,0,0.4439,avoid_fixture,0,0.5881,move_to_target,0,0.7467,move_to_target,0
pointing_to_a_reachable_target_086,pointing to a reachable target,move_to_target,0,0.9997,0.2279,1.0,0.1729,0,0.3085,clarify,1,0.6966,move_to_target,0,0.7581,move_to_target,0
pointing_to_a_reachable_target_087,pointing to a reachable target,move_to_target,0,0.588,0.4951,0.9818,0.0626,0,0.5528,move_to_target,0,0.6134,move_to_target,0,0.7334,move_to_target,0
pointing_to_a_reachable_target_088,pointing to a reachable target,move_to_target,0,0.9836,0.4225,0.952,0.0218,0,0.4513,align_and_place,0,0.8018,move_to_target,0,0.9655,move_to_target,0
pointing_to_a_reachable_target_089,pointing to a reachable target,move_to_target,0,0.8519,0.5398,0.7891,0.2355,0,0.4465,accept_handover,0,0.6819,move_to_target,0,0.728,move_to_target,0
gaze-held_object_handover_000,gaze-held object handover,accept_handover,0,0.6583,0.4595,0.8252,0.0058,0,0.4543,halt,0,0.6451,accept_handover,0,0.7122,accept_handover,0
gaze-held_object_handover_001,gaze-held object handover,accept_handover,0,0.7251,0.2675,0.7147,0.0,0,0.3444,clarify,1,0.6068,accept_handover,0,0.7665,accept_handover,0
gaze-held_object_handover_002,gaze-held object handover,accept_handover,0,0.5399,0.0143,0.9133,0.1386,0,0.1911,clarify,1,0.5619,accept_handover,0,0.5049,halt,0
gaze-held_object_handover_003,gaze-held object handover,accept_handover,0,0.6716,0.2042,0.4817,0.0396,0,0.3662,clarify,1,0.5464,accept_handover,0,0.4845,avoid_fixture,0
gaze-held_object_handover_004,gaze-held object handover,accept_handover,0,1.0,0.7195,0.6187,0.0644,0,0.6311,accept_handover,0,0.8321,accept_handover,0,0.7951,accept_handover,0
gaze-held_object_handover_005,gaze-held object handover,accept_handover,0,0.9055,0.3829,0.7479,0.1019,0,0.3967,follow_path,0,0.7339,accept_handover,0,0.8123,accept_handover,0
gaze-held_object_handover_006,gaze-held object handover,accept_handover,0,0.6541,0.6445,0.852,0.0866,0,0.5706,accept_handover,0,0.7161,accept_handover,0,0.8155,accept_handover,0
gaze-held_object_handover_007,gaze-held object handover,accept_handover,0,0.6798,0.5604,0.559,0.1222,0,0.4501,move_to_target,0,0.6418,accept_handover,0,0.5464,accept_handover,0
gaze-held_object_handover_008,gaze-held object handover,accept_handover,0,0.8197,0.2679,0.6706,0.2822,0,0.2695,clarify,1,0.6465,accept_handover,0,0.6864,accept_handover,0
gaze-held_object_handover_009,gaze-held object handover,accept_handover,0,0.6763,0.1828,0.888,0.1574,0,0.2297,clarify,1,0.5586,accept_handover,0,0.6473,accept_handover,0
gaze-held_object_handover_010,gaze-held object handover,accept_handover,0,0.9459,0.3125,1.0,0.1693,0,0.4264,move_to_target,0,0.7535,accept_handover,0,0.8034,accept_handover,0
gaze-held_object_handover_011,gaze-held object handover,accept_handover,0,0.8862,0.3274,0.8014,0.0106,0,0.2699,clarify,1,0.7332,accept_handover,0,0.7599,accept_handover,0
gaze-held_object_handover_012,gaze-held object handover,accept_handover,0,0.6515,0.2906,0.8599,0.0,0,0.3978,follow_path,0,0.6955,accept_handover,0,0.817,accept_handover,0
gaze-held_object_handover_013,gaze-held object handover,accept_handover,0,0.7132,0.2435,0.6478,0.2132,0,0.2206,clarify,1,0.5079,align_and_place,0,0.6397,accept_handover,0
gaze-held_object_handover_014,gaze-held object handover,accept_handover,0,0.918,0.1309,0.9576,0.1421,0,0.2519,clarify,1,0.684,accept_handover,0,0.8303,accept_handover,0
gaze-held_object_handover_015,gaze-held object handover,accept_handover,0,0.7356,0.5673,0.7078,0.3678,0,0.3427,clarify,1,0.588,accept_handover,0,0.7051,accept_handover,0
gaze-held_object_handover_016,gaze-held object handover,accept_handover,0,0.6271,0.5141,0.8397,0.0,0,0.5384,accept_handover,0,0.6963,accept_handover,0,0.7638,accept_handover,0
gaze-held_object_handover_017,gaze-held object handover,accept_handover,0,0.7554,0.2864,0.7993,0.4822,0,0.2038,clarify,1,0.4678,halt,0,0.7152,accept_handover,0
gaze-held_object_handover_018,gaze-held object handover,accept_handover,0,0.6918,0.5295,0.837,0.1117,0,0.3972,halt,0,0.6688,accept_handover,0,0.8135,accept_handover,0
gaze-held_object_handover_019,gaze-held object handover,accept_handover,0,0.7848,0.1743,0.8195,0.2076,0,0.3049,clarify,1,0.4954,move_to_target,0,0.6507,accept_handover,0
gaze-held_object_handover_020,gaze-held object handover,accept_handover,0,0.673,0.3136,0.908,0.3496,0,0.3251,clarify,1,0.5651,accept_handover,0,0.6781,accept_handover,0
gaze-held_object_handover_021,gaze-held object handover,accept_handover,0,0.6635,0.4399,0.6632,0.6076,0,0.1855,clarify,1,0.3763,clarify,1,0.6301,accept_handover,0
gaze-held_object_handover_022,gaze-held object handover,accept_handover,0,0.7362,0.6715,0.6802,0.0433,0,0.4684,follow_path,0,0.7422,accept_handover,0,0.665,accept_handover,0
gaze-held_object_handover_023,gaze-held object handover,accept_handover,0,0.736,0.2108,0.5305,0.4276,0,0.2014,clarify,1,0.4855,follow_path,0,0.5112,halt,0
gaze-held_object_handover_024,gaze-held object handover,accept_handover,0,0.4831,0.4793,0.8842,0.1747,0,0.2676,clarify,1,0.4844,halt,0,0.703,accept_handover,0
gaze-held_object_handover_025,gaze-held object handover,accept_handover,0,0.9474,0.4093,0.9128,0.0,0,0.4806,avoid_fixture,0,0.8296,accept_handover,0,0.8602,accept_handover,0
gaze-held_object_handover_026,gaze-held object handover,accept_handover,0,0.4869,0.399,0.9245,0.1765,0,0.3911,avoid_fixture,0,0.5906,accept_handover,0,0.6113,accept_handover,0
gaze-held_object_handover_027,gaze-held object handover,accept_handover,0,0.6203,0.463,0.9329,0.2385,0,0.3461,clarify,1,0.5716,accept_handover,0,0.6419,accept_handover,0
gaze-held_object_handover_028,gaze-held object handover,accept_handover,0,0.7412,0.2576,0.6188,0.1901,0,0.3017,clarify,1,0.6377,accept_handover,0,0.6788,accept_handover,0
gaze-held_object_handover_029,gaze-held object handover,accept_handover,0,0.803,0.5775,0.6527,0.0572,0,0.5224,accept_handover,0,0.7451,accept_handover,0,0.7267,accept_handover,0
gaze-held_object_handover_030,gaze-held object handover,accept_handover,0,0.748,0.6691,0.9794,0.3332,0,0.5513,accept_handover,0,0.6444,accept_handover,0,0.7401,accept_handover,0
gaze-held_object_handover_031,gaze-held object handover,accept_handover,0,0.794,0.1278,0.8227,0.2882,0,0.2244,clarify,1,0.6177,accept_handover,0,0.7356,accept_handover,0
gaze-held_object_handover_032,gaze-held object handover,accept_handover,0,0.6523,0.103,0.8381,0.1233,0,0.2295,clarify,1,0.5449,accept_handover,0,0.6425,accept_handover,0
gaze-held_object_handover_033,gaze-held object handover,accept_handover,0,0.5823,0.5227,0.7311,0.3635,0,0.3581,clarify,1,0.519,halt,0,0.5503,accept_handover,0
gaze-held_object_handover_034,gaze-held object handover,accept_handover,0,0.6853,0.623,0.9877,0.12,0,0.5593,accept_handover,0,0.6158,accept_handover,0,0.7681,accept_handover,0
gaze-held_object_handover_035,gaze-held object handover,accept_handover,0,0.7347,0.3234,0.7374,0.256,0,0.3449,clarify,1,0.6236,accept_handover,0,0.6329,accept_handover,0
