paper_id,query,anchor,authors,category,relevance,boundary_note
R48-120,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-121,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-122,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-123,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-124,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-125,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-126,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-127,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-128,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-129,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-130,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-131,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-132,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-133,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-134,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-135,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-136,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-137,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-138,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-139,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-140,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-141,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-142,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-143,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-144,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-145,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-146,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-147,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-148,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-149,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-150,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-151,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-152,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-153,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-154,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-155,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-156,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-157,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-158,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-159,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-160,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-161,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-162,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-163,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-164,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-165,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-166,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-167,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-168,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-169,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-170,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-171,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-172,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-173,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-174,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-175,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-176,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-177,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-178,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-179,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-180,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-181,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-182,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-183,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-184,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-185,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-186,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-187,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-188,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-189,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-190,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-191,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-192,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-193,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-194,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-195,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-196,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-197,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-198,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-199,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-200,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-201,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-202,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-203,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-204,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-205,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-206,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-207,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-208,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-209,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-210,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-211,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-212,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-213,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-214,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-215,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-216,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-217,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-218,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-219,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-220,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-221,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-222,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-223,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-224,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-225,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-226,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-227,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-228,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-229,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-230,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-231,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-232,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-233,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-234,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-235,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-236,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-237,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-238,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-239,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-240,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
